"Site","mean_dir_hour","concentration_rho"
"Arauquita",23.6033682982576,0.542319916372165
"Bita",22,0.475487668379883
"Cravo Norte",20.7167260665632,0.233672594169233
"Cumaribo",23.8245203439082,0.600612231563107
"Puerto Gaitan",20.7254420807252,0.191494174751448
"Puerto Rondon",21.5,0.38008168217988
