CT,Site,Latitude,Longitude,forest_d,forest_g,forest_a,sec_veg,crops,d_streams
CTCIN33,Cravo Norte,6.45430555555556,-69.7619722222222,0,141.2595031149225,0,0,0,NA
CTCIN36,Cravo Norte,6.45541666666666,-69.7649722222222,0,166.2886453126953,0,0,0,NA
CTCIN38,Cravo Norte,6.41994444444444,-69.7649722222222,0,11.732352977642417,0,0,0,NA
TFCA_05 11/11/2023,Cravo Norte,6.221056,-69.702667,0,32.68473327409965,0,0,0,NA
TFCA_11 11/11/2023,Cravo Norte,6.256518,-69.769394,0,23.928133235260937,0,0,0,NA
TFCA_12 11/11/2023,Cravo Norte,6.199583,-69.685111,0,39.99658416495211,0,0,0,NA
TFCA_14 11/11/2023,Cravo Norte,6.186389,-69.721222,0,68.34775668651407,0,0,0,NA
TFCA_21 11/11/2023,Cravo Norte,6.229297,-69.818928,0,106.02622943989914,0,0,0,NA
TFCA_22 11/11/2023,Cravo Norte,6.217555,-69.900476,0,39.76663865787648,0,0,0,NA
TFCA_25 11/11/2023,Cravo Norte,6.228709,-69.855153,0,34.02359486925714,0,0,0,NA
TFCA_28 11/11/2023,Cravo Norte,6.233233,-69.770832,0,33.200015247358195,0,0,0,NA
TFCA_32 11/11/2023,Cravo Norte,6.236552,-69.917218,0,66.21991820231648,0,0,0,NA
TFCA_33 11/11/2023,Cravo Norte,6.22026,-69.910037,0,47.92093921066634,0,0,0,NA
TFCA_34 11/11/2023,Cravo Norte,6.215393,-69.800765,0,48.98735728483128,0,0,0,NA
TFCA_35 11/11/2023,Cravo Norte,6.223056,-69.747806,0,29.39123315772675,0,0,0,NA
TFCA_36 11/11/2023,Cravo Norte,6.230903,-69.804799,0,41.239483523999525,0,0,0,NA
VIC_CT08 08/15/2023,Cumaribo,4.728588,-69.955834,0,83.19044201867283,0,0,0,9661.9
VIC_CT13 08/15/2023,Cumaribo,4.6578,-70.071347,122.45159286747561,5.704184155424311,0,0,0,1757.3
VIC_CT14 08/15/2023,Cumaribo,4.614128,-70.074073,0,50.3863284630347,0,0,121.71796388303339,1558.5
VIC_CT16 08/15/2023,Cumaribo,4.653991,-69.803144,0,113.65100984488046,0,0,0,77.7
VIC_CT19 08/15/2023,Cumaribo,4.674828,-69.905473,0,25.541388366266247,0,53.56559485885799,0,2875.6
Meta_CT01,Puerto Gaitan,3.603461,-72.308097,101.79114699320141,0,0,0,0,975.7
Meta_CT02,Puerto Gaitan,3.601216,-72.319233,144.67381608562837,0,0,0,0,729.9
Meta_CT03,Puerto Gaitan,3.595019,-72.322357,198.1295351177884,0,0,0,0,365.6
Meta_CT05,Puerto Gaitan,3.575078,-72.325205,120.29888556010901,0,0,0,0,177.8
Meta_CT06,Puerto Gaitan,3.523789,-72.346818,125.10277270845192,14.906120777065901,0,0,0,173.8
Meta_CT08,Puerto Gaitan,3.511623,-72.355907,172.43182016711935,1.4559040503223017,0,0,0,197.7
Meta_CT09,Puerto Gaitan,3.500013,-72.362494,194.23404310762461,16.01284436449263,0,0,0,197.9
Meta_CT10,Puerto Gaitan,3.503586,-72.371883,256.140864273677,0,0,0,0,100
Meta_CT11,Puerto Gaitan,3.496098,-72.382958,194.95145769979055,3.329083094647247,0,0,0,83.8
Meta_CT14,Puerto Gaitan,3.456554,-72.379203,179.41613366248217,0,0,0,0,68
Meta_CT15,Puerto Gaitan,3.450764,-72.38288,207.337956894532,0,0,0,0,258.4
Meta_CT16,Puerto Gaitan,3.430422,-72.401664,217.4123172738208,0,0,0,0,36.7
Meta_CT17,Puerto Gaitan,3.430422,-72.401664,217.4123172738208,0,0,0,0,36.7
Meta_CT18,Puerto Gaitan,3.434572,-72.397666,151.49999891310827,0,0,0,0,292.2
Meta_CT21,Puerto Gaitan,3.450657,-72.261867,0,45.67377821452077,0,0,0,9169.3
Meta_CT22,Puerto Gaitan,3.456226,-72.232591,0,62.6981737376336,0,0,0,9574.6
Meta_CT23,Puerto Gaitan,3.688303,-71.988346,0,51.98640891401086,0,0,0,6086.7
Meta_CT24,Puerto Gaitan,3.683326,-71.993112,0,48.802529095394235,0,0,0,6048.1
Meta_CT25,Puerto Gaitan,3.681166,-71.984624,0,59.08316612105714,0,0,0,6905.3
Meta_CT26,Puerto Gaitan,3.672444,-71.981735,0,39.54510188414332,0,0,0,7794.1
Meta_CT27,Puerto Gaitan,3.668284,-71.973578,0,45.95825200726204,0,0,0,7992.8
Meta_CT28,Puerto Gaitan,3.698827,-71.987567,0,60.04012278870234,0,0,0,5535.4
Meta_CT29,Puerto Gaitan,3.684215,-71.962041,0,36.93724461190621,0,0,0,8799.4
Meta_CT31,Puerto Gaitan,3.680579,-71.952021,0,38.35709146534726,0,0,31.872836985778434,8264
Meta_CT34,Puerto Gaitan,3.699571,-71.952821,0,57.054796214639765,0,0,111.91190281656813,8931.4
Meta_CT35,Puerto Gaitan,3.72473,-71.955005,0,32.7234789790581,0,0,0,7282.7
Meta_CT36,Puerto Gaitan,3.725918,-71.963235,0,62.92387266199258,0,0,0,6583.9
Meta_CT38,Puerto Gaitan,3.712665,-71.980779,0,43.47962156581165,0,0,0,5502.4
Meta_CT39,Puerto Gaitan,3.716703,-71.996667,0,60.82335304259085,0,0,0,3724.3
