"CT","Site","peak_hour"
"Puerto.Gaitán_CT74","Puerto.Gaitán",2.98196392785571
"Puerto.Gaitán_CT05","Puerto.Gaitán",3.07815631262525
"Puerto.Gaitán_CT79","Puerto.Gaitán",3.12625250501002
"Puerto.Gaitán_CT73","Puerto.Gaitán",3.22244488977956
"Puerto.Gaitán_CT78","Puerto.Gaitán",3.22244488977956
"Puerto.Gaitán_CT20","Puerto.Gaitán",3.41482965931864
"Puerto.Gaitán_CT63","Puerto.Gaitán",3.51102204408818
"Puerto.Gaitán_CT94","Puerto.Gaitán",3.60721442885772
"Puerto.Gaitán_CT61","Puerto.Gaitán",3.79959919839679
"Puerto.Gaitán_CT35","Puerto.Gaitán",3.84769539078156
"Puerto.Gaitán_CT60","Puerto.Gaitán",3.84769539078156
"Puerto.Gaitán_CT26","Puerto.Gaitán",3.9438877755511
"Puerto.Gaitán_CT15","Puerto.Gaitán",4.04008016032064
"Puerto.Gaitán_CT32","Puerto.Gaitán",4.08817635270541
"Puerto.Gaitán_CT31","Puerto.Gaitán",4.13627254509018
"Puerto.Gaitán_CT33","Puerto.Gaitán",4.13627254509018
"Puerto.Gaitán_CT80","Puerto.Gaitán",4.13627254509018
"Puerto.Gaitán_CT34","Puerto.Gaitán",4.18436873747495
"Puerto.Gaitán_CT03","Puerto.Gaitán",4.28056112224449
"Puerto.Gaitán_CT111","Puerto.Gaitán",4.28056112224449
"Puerto.Gaitán_CT28","Puerto.Gaitán",4.37675350701403
"Puerto.Gaitán_CT38","Puerto.Gaitán",4.4248496993988
"Puerto.Gaitán_CT16","Puerto.Gaitán",4.47294589178357
"Puerto.Gaitán_CT29","Puerto.Gaitán",4.47294589178357
"Puerto.Gaitán_CT59","Puerto.Gaitán",4.56913827655311
"Puerto.Gaitán_CT19","Puerto.Gaitán",4.61723446893788
"Puerto.Gaitán_CT76","Puerto.Gaitán",4.61723446893788
"Puerto.Gaitán_CT107","Puerto.Gaitán",4.66533066132265
"Puerto.Gaitán_CT95","Puerto.Gaitán",4.66533066132265
"Puerto.Gaitán_CT01","Puerto.Gaitán",4.71342685370742
"Puerto.Gaitán_CT06","Puerto.Gaitán",4.76152304609218
"Puerto.Gaitán_CT99","Puerto.Gaitán",4.80961923847695
"Puerto.Gaitán_CT27","Puerto.Gaitán",4.85771543086172
"Puerto.Gaitán_CT77","Puerto.Gaitán",4.85771543086172
"Puerto.Gaitán_CT37","Puerto.Gaitán",4.90581162324649
"Puerto.Gaitán_CT52","Puerto.Gaitán",4.90581162324649
"Puerto.Gaitán_CT36","Puerto.Gaitán",5.00200400801603
"Puerto.Gaitán_CT53","Puerto.Gaitán",5.09819639278557
"Puerto.Gaitán_CT84","Puerto.Gaitán",5.14629258517034
"Puerto.Gaitán_CT14","Puerto.Gaitán",5.19438877755511
"Puerto.Gaitán_CT51","Puerto.Gaitán",5.19438877755511
"Puerto.Rondón_CT15","Puerto.Rondón",1.58717434869739
"Puerto.Rondón_CT95","Puerto.Rondón",1.77955911823647
"Puerto.Rondón_CT47","Puerto.Rondón",1.87575150300601
"Puerto.Rondón_CT86","Puerto.Rondón",1.87575150300601
"Puerto.Rondón_CT52","Puerto.Rondón",2.02004008016032
"Puerto.Rondón_CT51","Puerto.Rondón",2.45290581162325
"Puerto.Rondón_CT11","Puerto.Rondón",3.07815631262525
"Puerto.Rondón_CT33","Puerto.Rondón",3.22244488977956
"Puerto.Rondón_CT46","Puerto.Rondón",3.84769539078156
"Puerto.Rondón_CT88","Puerto.Rondón",5.14629258517034
"Puerto.Rondón_CT48","Puerto.Rondón",5.24248496993988
"Puerto.Rondón_CT10","Puerto.Rondón",5.96392785571142
"Puerto.Rondón_CT45","Puerto.Rondón",5.96392785571142
"Puerto.Rondón_CT29","Puerto.Rondón",6.39679358717435
"Puerto.Rondón_CT87","Puerto.Rondón",6.68537074148297
