CT;Date;Time_of_Day;Site;forest_d;forest_g;forest_a;sec_veg;savanna;crops;pasture;d_river;d_streams;d_roads;d_crops;Datetime;Hour;HourRadians
CT-DantaPVS-1-28;2016-03-20;01:50:37;Bita;34.693381;0;0;0;43.49569;0;0.043893;1468.14619;123.586568;671.612977;1452.031035;2016-03-20 01:50:37;1.843611111;0.48265626
CT-DantaPVS-1-28;2016-03-20;01:50:37;Bita;34.693381;0;0;0;43.49569;0;0.043893;1468.14619;123.586568;671.612977;1452.031035;2016-03-20 01:50:37;1.843611111;0.48265626
CT-DantaPVS-1-29;2016-03-08;18:22:42;Bita;0;12.572589;0;0;40.057829;0;0;2715.570326;43.566488;1063.489091;95.801818;2016-03-08 18:22:42;18.37833333;4.811436415
CT-DantaPVS-1-29;2016-03-08;18:22:43;Bita;0;12.572589;0;0;40.057829;0;0;2715.570326;43.566488;1063.489091;95.801818;2016-03-08 18:22:43;18.37861111;4.811509137
CT-DantaPVS-1-29;2016-03-17;18:48:21;Bita;0;12.572589;0;0;40.057829;0;0;2715.570326;43.566488;1063.489091;95.801818;2016-03-17 18:48:21;18.80583333;4.923355654
CT-DantaPVS-1-29;2016-03-17;18:48:22;Bita;0;12.572589;0;0;40.057829;0;0;2715.570326;43.566488;1063.489091;95.801818;2016-03-17 18:48:22;18.80611111;4.923428376
CT-FC-1-1;2018-04-25;22:24:47;Cravo Norte;34.1;0;0;0;65.79;0;0;0;102.91;23967.25;13935.5;2018-04-25 22:24:47;22.41305556;5.867724223
CT-FC-1-1;2018-04-25;22:24:49;Cravo Norte;34.1;0;0;0;65.79;0;0;0;102.91;23967.25;13935.5;2018-04-25 22:24:49;22.41361111;5.867869667
CT-FC-1-7;2018-05-08;19:03:51;Cravo Norte;34.1;0;0;0;65.79;0;0;0;102.91;23967.25;13935.5;2018-05-08 19:03:51;19.06416667;4.990987162
CT-FC-1-7;2018-05-08;19:03:52;Cravo Norte;34.1;0;0;0;65.79;0;0;0;102.91;23967.25;13935.5;2018-05-08 19:03:52;19.06444444;4.991059884
CTCIN03_T.terrestris_30042016;2016-04-30;21:23:00;Cravo Norte;0;2.37;0;0;0;0;58.63;0;105.58;1261.43;21104.07;2016-04-30 21:23:00;21.38333333;5.598143576
CTCIN07_T.terrestris_21042016;2016-04-21;20:21:00;Cravo Norte;13.33;0;0;0;86.56;0;0;0;206.72;4654.53;12443.57;2016-04-21 20:21:00;20.35;5.327617542
CTCIN08_T.terrestris_21042016;2016-04-21;20:21:00;Cravo Norte;52.3;0;0;0;47.59;0;0;0;95.47;7435.24;11528.67;2016-04-21 20:21:00;20.35;5.327617542
CTCIN11_T.terrestris_26042016;2016-04-26;16:13:00;Cravo Norte;37.55;0;0;0;28.14;0;34.2;0;23.78;5420.28;11031.66;2016-04-26 16:13:00;16.21666667;4.245513405
CTCIN13_T.terrestris_22042016_1;2016-04-22;22:50:00;Cravo Norte;70.8;0;0;0;29.09;0;0;0;18;5305.8;16093.48;2016-04-22 22:50:00;22.83333333;5.977752688
CTCIN13_T.terrestris_22042016_2;2016-04-22;23:11:00;Cravo Norte;70.8;0;0;0;29.09;0;0;0;18;5305.8;16093.48;2016-04-22 23:11:00;23.18333333;6.069382474
CTCIN13_T.terrestris_25042016_1;2016-04-25;5:00:00;Cravo Norte;70.8;0;0;0;29.09;0;0;0;18;5305.8;16093.48;2016-04-25 05:00:00;5;1.308996939
CTCIN13_T.terrestris_25042016_2;2016-04-25;16:18:00;Cravo Norte;70.8;0;0;0;29.09;0;0;0;18;5305.8;16093.48;2016-04-25 16:18:00;16.3;4.267330021
CTCIN13_T.terrestris_28042016_1;2016-04-28;21:38:00;Cravo Norte;70.8;0;0;0;29.09;0;0;0;18;5305.8;16093.48;2016-04-28 21:38:00;21.63333333;5.663593423
CTCIN13_T.terrestris_29042016;2016-04-29;3:29:00;Cravo Norte;70.8;0;0;0;29.09;0;0;0;18;5305.8;16093.48;2016-04-29 03:29:00;3.483333333;0.911934534
CTCIN14_T.terrestris_22042016_1;2016-04-22;10:51:00;Cravo Norte;14.16;0;0;0;85.73;0;0;0;48.35;2363.94;16609.28;2016-04-22 10:51:00;10.85;2.840523358
CTCIN14_T.terrestris_22042016_2;2016-04-22;11:11:00;Cravo Norte;14.16;0;0;0;85.73;0;0;0;48.35;2363.94;16609.28;2016-04-22 11:11:00;11.18333333;2.92778982
CTCIN14_T.terrestris_25042016_1;2016-04-25;5:01:00;Cravo Norte;14.16;0;0;0;85.73;0;0;0;48.35;2363.94;16609.28;2016-04-25 05:01:00;5.016666667;1.313360262
CTCIN14_T.terrestris_25042016_2;2016-04-25;16:18:00;Cravo Norte;14.16;0;0;0;85.73;0;0;0;48.35;2363.94;16609.28;2016-04-25 16:18:00;16.3;4.267330021
CTCIN14_T.terrestris_28042016;2016-04-28;21:40:00;Cravo Norte;14.16;0;0;0;85.73;0;0;0;48.35;2363.94;16609.28;2016-04-28 21:40:00;21.66666667;5.672320069
CTCIN14_T.terrestris_29042016;2016-04-29;3:30:00;Cravo Norte;14.16;0;0;0;85.73;0;0;0;48.35;2363.94;16609.28;2016-04-29 03:30:00;3.5;0.916297857
