"mean","lower","upper","angle","CT","hour","Site"
1,0.206461977643529,0.428745773422251,1.13323983496225,"Arauquita_18(1)",4.32865731462926,"Arauquita"
1,0.269890906255346,0.429623624763123,0.365155057932281,"Arauquita_18(2)",1.39478957915832,"Arauquita"
1,0.285885819786784,0.42947491757375,0.365155057932281,"Arauquita_27(1)",1.39478957915832,"Arauquita"
1,0.213836662498742,0.428907866322782,1.58653576894715,"Arauquita_27(2)",6.06012024048096,"Arauquita"
1,0.227850472181612,0.428890352403996,1.14583138868405,"Arauquita_28(1)",4.37675350701403,"Arauquita"
1,0.256989204427538,0.429121587823739,1.08287362007504,"Arauquita_28(2)",4.13627254509018,"Arauquita"
1,0.237849968817282,0.429204488784337,1.17101449612766,"Arauquita_28(3)",4.47294589178357,"Arauquita"
1,0.217135374036458,0.428288081734653,1.46062023172912,"Arauquita_28(4)",5.57915831663327,"Arauquita"
1,0.193568011111052,0.427668892793573,1.58653576894715,"Arauquita_28(5)",6.06012024048096,"Arauquita"
1,0.188271326314075,0.428961152372826,0.818450991917181,"Arauquita_37(1)",3.12625250501002,"Arauquita"
1,0.234743736934286,0.429015016213184,0.491070595150308,"Arauquita_37(2)",1.87575150300601,"Arauquita"
1,0.261888716068405,0.429045968073777,0.768084777029969,"Bita_CT-DantaPVS-1-1",2.93386773547094,"Bita"
1,0.176467223959484,0.428128454426466,1.49839489289453,"Bita_CT-DantaPVS-1-13",5.72344689378757,"Bita"
1,0.24035108148389,0.428860849669986,1.67467664499977,"Bita_CT-DantaPVS-1-16",6.39679358717435,"Bita"
1,0.217257091679291,0.428964814287969,0.428112826541294,"Bita_CT-DantaPVS-1-19",1.63527054108216,"Bita"
1,0.213707765932639,0.428485637705065,1.3724793556765,"Bita_CT-DantaPVS-1-20",5.24248496993988,"Bita"
1,0.272476279125007,0.429598587251911,1.51098644661633,"Bita_CT-DantaPVS-1-23",5.77154308617234,"Bita"
1,0.212530283222873,0.428661129837007,0.642169239811942,"Bita_CT-DantaPVS-1-27",2.45290581162325,"Bita"
1,0.256240764331074,0.429458009486933,0.692535454699153,"Bita_CT-DantaPVS-1-28",2.64529058116232,"Bita"
1,0.208175974931177,0.428215354608324,1.68726819872157,"Bita_CT-DantaPVS-1-29",6.44488977955912,"Bita"
1,0.189328176727794,0.428187695580098,0.402929719097689,"Bita_CT-DantaPVS-1-3",1.53907815631263,"Bita"
1,0.291698707644133,0.429364667180386,0.365155057932281,"Bita_CT-DantaPVS-1-6",1.39478957915832,"Bita"
1,0.186259767607392,0.427807118453015,1.18360604984946,"Cravo.Norte_CTCIN03_T.terrestris_30042016",4.52104208416834,"Cravo.Norte"
1,0.172777312788089,0.428250784603571,1.17101449612766,"Cravo.Norte_CTCIN07_T.terrestris_21042016",4.47294589178357,"Cravo.Norte"
1,0.172870857585073,0.428378344310887,1.22138071101487,"Cravo.Norte_CTCIN08_T.terrestris_21042016",4.66533066132265,"Cravo.Norte"
1,0.17966872837902,0.427877652496245,1.12064828124045,"Cravo.Norte_CTCIN11_T.terrestris_26042016",4.28056112224449,"Cravo.Norte"
1,0.161055523506466,0.428913061951131,1.25915537218028,"Cravo.Norte_CTCIN13_T.terrestris_22042016_1",4.80961923847695,"Cravo.Norte"
1,0.170084696366912,0.428228632144851,1.23397226473667,"Cravo.Norte_CTCIN13_T.terrestris_22042016_2",4.71342685370742,"Cravo.Norte"
1,0.150031563409383,0.427331561866475,0.717718562142758,"Cravo.Norte_CTCIN13_T.terrestris_25042016_1",2.74148296593186,"Cravo.Norte"
1,0.18092887610683,0.428729296346913,1.10805672751864,"Cravo.Norte_CTCIN13_T.terrestris_25042016_2",4.23246492985972,"Cravo.Norte"
1,0.169019005736417,0.427320089700055,1.22138071101487,"Cravo.Norte_CTCIN13_T.terrestris_28042016_1",4.66533066132265,"Cravo.Norte"
1,0.149586445156459,0.428037250251322,0.642169239811942,"Cravo.Norte_CTCIN13_T.terrestris_29042016",2.45290581162325,"Cravo.Norte"
1,0.163639205413027,0.428115186497871,0.881408760526194,"Cravo.Norte_CTCIN14_T.terrestris_22042016_1",3.36673346693387,"Cravo.Norte"
1,0.164188235681805,0.427800860469933,0.919183421691603,"Cravo.Norte_CTCIN14_T.terrestris_22042016_2",3.51102204408818,"Cravo.Norte"
1,0.159419864355873,0.428286124036371,0.705127008420956,"Cravo.Norte_CTCIN14_T.terrestris_25042016_1",2.69338677354709,"Cravo.Norte"
1,0.186348281367839,0.428214982683803,1.04509895890963,"Cravo.Norte_CTCIN14_T.terrestris_25042016_2",3.99198396793587,"Cravo.Norte"
1,0.17091547095547,0.428369244862722,1.24656381845847,"Cravo.Norte_CTCIN14_T.terrestris_28042016",4.76152304609218,"Cravo.Norte"
1,0.15969213784181,0.42774683341446,0.579211471202928,"Cravo.Norte_CTCIN14_T.terrestris_29042016",2.2124248496994,"Cravo.Norte"
1,0.172195316774632,0.426987607860388,1.10805672751864,"Cravo.Norte_CTCIN22_T.terrestris_29042016",4.23246492985972,"Cravo.Norte"
1,0.164103435049263,0.426969152938994,0.831042545638983,"Cravo.Norte_CTCIN24_T.terrestris_05052016",3.17434869739479,"Cravo.Norte"
1,0.171573749322594,0.428341757060131,1.20878915729307,"Cravo.Norte_CTCIN24_T.terrestris_23042016_1",4.61723446893788,"Cravo.Norte"
1,0.168555849126792,0.428321980826043,1.24656381845847,"Cravo.Norte_CTCIN24_T.terrestris_23042016_2",4.76152304609218,"Cravo.Norte"
